Workspace.Military.Rocket Factory.Bruno.HumanoidRootPart.Shoot	SoundId=rbxassetid://2047319236
Workspace.Bases.Base.Salvaged Metal Door.Salvaged Metal Door.Main.Beep	SoundId=rbxassetid://9117060368
Workspace.Bases.Base.Salvaged Metal Door.Salvaged Metal Door.Main.Open	SoundId=rbxassetid://1143451828
Workspace.Bases.Base.Salvaged Metal Door.Salvaged Metal Door.Main.Knock	SoundId=rbxassetid://9116715146
Workspace.Bases.Base.Storage Cabinet.Storage Cabinet.Main.Place	SoundId=rbxassetid://9114129572
Workspace.Bases.Base.Storage Cabinet.Storage Cabinet.Main.Place	SoundId=rbxassetid://9114129572
Workspace.Bases.Base.Storage Cabinet.Storage Cabinet.Main.Place	SoundId=rbxassetid://9114129572
Workspace.Bases.Base.Small Storage Box.Small Storage Box.Main.Denied	SoundId=rbxassetid://9113880610
Workspace.Bases.Base.Small Storage Box.Small Storage Box.Main.Place	SoundId=rbxassetid://9114129572
Workspace.Bases.Base.Small Storage Box.Small Storage Box.Main.Beep	SoundId=rbxassetid://9117060368
Workspace.Bases.Base.Base Cabinet.Base Cabinet.Main.Beep	SoundId=rbxassetid://9117060368
Workspace.Bases.Base.Base Cabinet.Base Cabinet.Main.Denied	SoundId=rbxassetid://9113880610
Workspace.Bases.Base.Base Cabinet.Base Cabinet.Main.Place	SoundId=rbxassetid://9114129572
Workspace.Bases.Base.Campfire.Campfire.Main.Place	SoundId=rbxassetid://9118646432
Workspace.Bases.Base.Campfire.Campfire.Main.ParticleHolder.On	SoundId=rbxassetid://9112780462
Workspace.Bases.Base.Sleeping Bag.Sleeping Bag.Main.Place	SoundId=rbxassetid://9119069007
Workspace.Bases.Base.Sleeping Bag.Sleeping Bag.Main.Place	SoundId=rbxassetid://9119069007
Workspace.Bases.Base.Sleeping Bag.Sleeping Bag.Main.Place	SoundId=rbxassetid://9119069007
Workspace.Bases.Base.Large Storage Box.Large Storage Box.Main.Denied	SoundId=rbxassetid://9113880610
Workspace.Bases.Base.Large Storage Box.Large Storage Box.Main.Beep	SoundId=rbxassetid://9117060368
Workspace.Bases.Base.Large Storage Box.Large Storage Box.Main.Place	SoundId=rbxassetid://9114129572
Workspace.Bases.Base.Large Storage Box.Large Storage Box.Main.Beep	SoundId=rbxassetid://9117060368
Workspace.Bases.Base.Large Storage Box.Large Storage Box.Main.Place	SoundId=rbxassetid://9114129572
Workspace.Bases.Base.Large Storage Box.Large Storage Box.Main.Denied	SoundId=rbxassetid://9113880610
Workspace.Bases.Base.Shotgun Turret.Shotgun Turret.Main.Shoot	SoundId=rbxassetid://6060055843
Workspace.Bases.Base.Shotgun Turret.Shotgun Turret.Main.Shoot	SoundId=rbxassetid://6060055843
Workspace.Bases.Base.Small Storage Box.Small Storage Box.Main.Denied	SoundId=rbxassetid://9113880610
Workspace.Bases.Base.Small Storage Box.Small Storage Box.Main.Beep	SoundId=rbxassetid://9117060368
Workspace.Bases.Base.Base Cabinet.Base Cabinet.Main.Beep	SoundId=rbxassetid://9117060368
Workspace.Bases.Base.Base Cabinet.Base Cabinet.Main.Denied	SoundId=rbxassetid://9113880610
Workspace.Bases.Base.Wooden Double Door.Wooden Double Door.Main.Open	SoundId=rbxassetid://9117506603
Workspace.Bases.Base.Wooden Double Door.Wooden Double Door.Main.Denied	SoundId=rbxassetid://9113880610
Workspace.Bases.Base.Wooden Double Door.Wooden Double Door.Main.Beep	SoundId=rbxassetid://9117060368
Workspace.Bases.Base.Wooden Double Door.Wooden Double Door.Main.Knock	SoundId=rbxassetid://9120918288
Workspace.Bases.Base.Wooden Double Door.Wooden Double Door.Main.Close	SoundId=rbxassetid://9113366556
Workspace.Bases.Base.Wooden Door.Wooden Door.Main.Open	SoundId=rbxassetid://9117506603
Workspace.Bases.Base.Wooden Door.Wooden Door.Main.Close	SoundId=rbxassetid://9113366556
Workspace.Bases.Base.Wooden Door.Wooden Door.Main.Denied	SoundId=rbxassetid://9113880610
Workspace.Bases.Base.Wooden Door.Wooden Door.Main.Beep	SoundId=rbxassetid://9117060368
Workspace.Bases.Base.Wooden Door.Wooden Door.Main.Knock	SoundId=rbxassetid://9120918288
Workspace.Bases.Base.Campfire.Campfire.Main.ParticleHolder.On	SoundId=rbxassetid://9112780462
Workspace.Bases.Base.Salvaged Metal Door.Salvaged Metal Door.Main.Denied	SoundId=rbxassetid://9113880610
Workspace.Bases.Base.Salvaged Metal Door.Salvaged Metal Door.Main.Close	SoundId=rbxassetid://1143451761
Workspace.Bases.Base.Salvaged Metal Door.Salvaged Metal Door.Main.Place	SoundId=rbxassetid://9119633070
Workspace.Bases.Base.Salvaged Metal Door.Salvaged Metal Door.Main.Beep	SoundId=rbxassetid://9117060368
Workspace.Bases.Base.Salvaged Metal Door.Salvaged Metal Door.Main.Open	SoundId=rbxassetid://1143451828
Workspace.Bases.Base.Salvaged Metal Door.Salvaged Metal Door.Main.Knock	SoundId=rbxassetid://9116715146
Workspace.Bases.Base.Wooden Door.Wooden Door.Main.Denied	SoundId=rbxassetid://9113880610
Workspace.Bases.Base.Wooden Door.Wooden Door.Main.Place	SoundId=rbxassetid://9114129572
Workspace.Bases.Base.Wooden Door.Wooden Door.Main.Knock	SoundId=rbxassetid://9120918288
Workspace.Bases.Base.Wooden Door.Wooden Door.Main.Beep	SoundId=rbxassetid://9117060368
Workspace.Bases.Base.Wooden Door.Wooden Door.Main.Open	SoundId=rbxassetid://9117506603
Workspace.Bases.Base.Wooden Door.Wooden Door.Main.Close	SoundId=rbxassetid://9113366556
Workspace.Bases.Base.Sleeping Bag.Sleeping Bag.Main.Place	SoundId=rbxassetid://9119069007
Workspace.Bases.Base.Sleeping Bag.Sleeping Bag.Main.Place	SoundId=rbxassetid://9119069007
Workspace.Bases.Base.Sleeping Bag.Sleeping Bag.Main.Place	SoundId=rbxassetid://9119069007
Workspace.Bases.Base.Small Storage Box.Small Storage Box.Main.Place	SoundId=rbxassetid://9114129572
Workspace.Bases.Base.Small Storage Box.Small Storage Box.Main.Denied	SoundId=rbxassetid://9113880610
Workspace.Bases.Base.Small Storage Box.Small Storage Box.Main.Beep	SoundId=rbxassetid://9117060368
Workspace.Bases.Base.Small Storage Box.Small Storage Box.Main.Denied	SoundId=rbxassetid://9113880610
Workspace.Bases.Base.Small Storage Box.Small Storage Box.Main.Place	SoundId=rbxassetid://9114129572
Workspace.Bases.Base.Small Storage Box.Small Storage Box.Main.Beep	SoundId=rbxassetid://9117060368
Workspace.Bases.Base.Small Storage Box.Small Storage Box.Main.Denied	SoundId=rbxassetid://9113880610
Workspace.Bases.Base.Small Storage Box.Small Storage Box.Main.Place	SoundId=rbxassetid://9114129572
Workspace.Bases.Base.Small Storage Box.Small Storage Box.Main.Beep	SoundId=rbxassetid://9117060368
Workspace.Bases.Base.Small Storage Box.Small Storage Box.Main.Beep	SoundId=rbxassetid://9117060368
Workspace.Bases.Base.Small Storage Box.Small Storage Box.Main.Denied	SoundId=rbxassetid://9113880610
Workspace.Bases.Base.Small Storage Box.Small Storage Box.Main.Place	SoundId=rbxassetid://9114129572
Workspace.Bases.Base.Base Cabinet.Base Cabinet.Main.Beep	SoundId=rbxassetid://9117060368
Workspace.Bases.Base.Base Cabinet.Base Cabinet.Main.Denied	SoundId=rbxassetid://9113880610
Workspace.Bases.Base.Base Cabinet.Base Cabinet.Main.Place	SoundId=rbxassetid://9114129572
Workspace.Bases.Base.Furnace.Furnace.Main.Place	SoundId=rbxassetid://9113523341
Workspace.Bases.Base.Furnace.Furnace.Main.ParticleHolder.On	SoundId=rbxassetid://9112780462
Workspace.Bases.Base.Large Storage Box.Large Storage Box.Main.Denied	SoundId=rbxassetid://9113880610
Workspace.Bases.Base.Large Storage Box.Large Storage Box.Main.Place	SoundId=rbxassetid://9114129572
Workspace.Bases.Base.Large Storage Box.Large Storage Box.Main.Beep	SoundId=rbxassetid://9117060368
Workspace.Bases.Base.Large Storage Box.Large Storage Box.Main.Beep	SoundId=rbxassetid://9117060368
Workspace.Bases.Base.Large Storage Box.Large Storage Box.Main.Denied	SoundId=rbxassetid://9113880610
Workspace.Bases.Base.Large Storage Box.Large Storage Box.Main.Place	SoundId=rbxassetid://9114129572
Workspace.Bases.Base.Large Storage Box.Large Storage Box.Main.Beep	SoundId=rbxassetid://9117060368
Workspace.Bases.Base.Large Storage Box.Large Storage Box.Main.Denied	SoundId=rbxassetid://9113880610
Workspace.Bases.Base.Wooden Double Door.Wooden Double Door.Main.Close	SoundId=rbxassetid://9113366556
Workspace.Bases.Base.Wooden Double Door.Wooden Double Door.Main.Knock	SoundId=rbxassetid://9120918288
Workspace.Bases.Base.Wooden Double Door.Wooden Double Door.Main.Open	SoundId=rbxassetid://9117506603
Workspace.Bases.Base.Wooden Double Door.Wooden Double Door.Main.Beep	SoundId=rbxassetid://9117060368
Workspace.Bases.Base.Wooden Double Door.Wooden Double Door.Main.Denied	SoundId=rbxassetid://9113880610
Workspace.Bases.Base.Base Cabinet.Base Cabinet.Main.Beep	SoundId=rbxassetid://9117060368
Workspace.Bases.Base.Base Cabinet.Base Cabinet.Main.Denied	SoundId=rbxassetid://9113880610
Workspace.Bases.Base.Furnace.Furnace.Main.ParticleHolder.On	SoundId=rbxassetid://9112780462
Workspace.Bases.Base.Furnace.Furnace.Main.Place	SoundId=rbxassetid://9113523341
Workspace.Bases.Base.Furnace.Furnace.Main.Place	SoundId=rbxassetid://9113523341
Workspace.Bases.Base.Furnace.Furnace.Main.ParticleHolder.On	SoundId=rbxassetid://9112780462
Workspace.Bases.Base.Small Storage Box.Small Storage Box.Main.Beep	SoundId=rbxassetid://9117060368
Workspace.Bases.Base.Small Storage Box.Small Storage Box.Main.Place	SoundId=rbxassetid://9114129572
Workspace.Bases.Base.Small Storage Box.Small Storage Box.Main.Denied	SoundId=rbxassetid://9113880610
Workspace.Bases.Base.Furnace.Furnace.Main.ParticleHolder.On	SoundId=rbxassetid://9112780462
Workspace.Bases.Base.Furnace.Furnace.Main.ParticleHolder.On	SoundId=rbxassetid://9112780462
Workspace.Bases.Base.Metal Double Door.Metal Double Door.Main.Close	SoundId=rbxassetid://1143451828
Workspace.Bases.Base.Metal Double Door.Metal Double Door.Main.Knock	SoundId=rbxassetid://9116715146
Workspace.Bases.Base.Metal Double Door.Metal Double Door.Main.Open	SoundId=rbxassetid://1143451761
Workspace.Bases.Base.Metal Double Door.Metal Double Door.Main.Beep	SoundId=rbxassetid://9117060368
Workspace.Bases.Base.Metal Double Door.Metal Double Door.Main.Close	SoundId=rbxassetid://1143451828
Workspace.Bases.Base.Metal Double Door.Metal Double Door.Main.Open	SoundId=rbxassetid://1143451761
Workspace.Bases.Base.Metal Double Door.Metal Double Door.Main.Beep	SoundId=rbxassetid://9117060368
Workspace.Bases.Base.Metal Double Door.Metal Double Door.Main.Knock	SoundId=rbxassetid://9116715146
Workspace.Bases.Base.Metal Double Door.Metal Double Door.Main.Knock	SoundId=rbxassetid://9116715146
Workspace.Bases.Base.Metal Double Door.Metal Double Door.Main.Open	SoundId=rbxassetid://1143451761
Workspace.Bases.Base.Metal Double Door.Metal Double Door.Main.Close	SoundId=rbxassetid://1143451828
Workspace.Bases.Base.Metal Double Door.Metal Double Door.Main.Beep	SoundId=rbxassetid://9117060368
Workspace.Bases.Base.Metal Double Door.Metal Double Door.Main.Beep	SoundId=rbxassetid://9117060368
Workspace.Bases.Base.Metal Double Door.Metal Double Door.Main.Knock	SoundId=rbxassetid://9116715146
Workspace.Bases.Base.Metal Double Door.Metal Double Door.Main.Open	SoundId=rbxassetid://1143451761
Workspace.Bases.Base.Metal Double Door.Metal Double Door.Main.Close	SoundId=rbxassetid://1143451828
Workspace.Bases.Base.Metal Double Door.Metal Double Door.Main.Open	SoundId=rbxassetid://1143451761
Workspace.Bases.Base.Metal Double Door.Metal Double Door.Main.Close	SoundId=rbxassetid://1143451828
Workspace.Bases.Base.Metal Double Door.Metal Double Door.Main.Beep	SoundId=rbxassetid://9117060368
Workspace.Bases.Base.Metal Double Door.Metal Double Door.Main.Knock	SoundId=rbxassetid://9116715146
Workspace.Bases.Base.Large Storage Box.Large Storage Box.Main.Denied	SoundId=rbxassetid://9113880610
Workspace.Bases.Base.Large Storage Box.Large Storage Box.Main.Beep	SoundId=rbxassetid://9117060368
Workspace.Bases.Base.Large Storage Box.Large Storage Box.Main.Beep	SoundId=rbxassetid://9117060368
Workspace.Bases.Base.Large Storage Box.Large Storage Box.Main.Denied	SoundId=rbxassetid://9113880610
Workspace.Bases.Base.Metal Door.Metal Door.Main.Close	SoundId=rbxassetid://1143451828
Workspace.Bases.Base.Metal Door.Metal Door.Main.Knock	SoundId=rbxassetid://9116715146
Workspace.Bases.Base.Metal Door.Metal Door.Main.Beep	SoundId=rbxassetid://9117060368
Workspace.Bases.Base.Metal Door.Metal Door.Main.Open	SoundId=rbxassetid://1143451761
Workspace.Bases.Base.Metal Door.Metal Door.Main.Denied	SoundId=rbxassetid://9113880610
Workspace.Bases.Base.Metal Door.Metal Door.Main.Open	SoundId=rbxassetid://1143451761
Workspace.Bases.Base.Metal Door.Metal Door.Main.Knock	SoundId=rbxassetid://9116715146
Workspace.Bases.Base.Metal Door.Metal Door.Main.Close	SoundId=rbxassetid://1143451828
Workspace.Bases.Base.Metal Door.Metal Door.Main.Denied	SoundId=rbxassetid://9113880610
Workspace.Bases.Base.Metal Door.Metal Door.Main.Beep	SoundId=rbxassetid://9117060368
Workspace.Bases.Base.Base Cabinet.Base Cabinet.Main.Beep	SoundId=rbxassetid://9117060368
Workspace.Bases.Base.Base Cabinet.Base Cabinet.Main.Denied	SoundId=rbxassetid://9113880610
Workspace.Bases.Base.Wooden Double Door.Wooden Double Door.Main.Beep	SoundId=rbxassetid://9117060368
Workspace.Bases.Base.Wooden Double Door.Wooden Double Door.Main.Close	SoundId=rbxassetid://9113366556
Workspace.Bases.Base.Wooden Double Door.Wooden Double Door.Main.Denied	SoundId=rbxassetid://9113880610
Workspace.Bases.Base.Wooden Double Door.Wooden Double Door.Main.Open	SoundId=rbxassetid://9117506603
